ID,sex,age,armadillo,tode plant,ayahuasca,tapir,azucarhuayo tree,jaguar,gilded catfish,spider monkey,harpy eagle,giant otter,chimicua tree,cedro tree,boquichico fish,shinteneki tree,white-collard peccary,kapok tree,shapaja palm tree,hummingbird,screaming piha bird,cortapelo bee
55,1,2,12,17,17,1,15,8,13,8,1,8,17,5,13,17,1,1,7,6,16,8
56,1,3,1,18,1,1,,1,,1,1,1,17,1,1,1,1,1,1,1,1,1
57,0,4,14,8,5,17,11,4,16,7,1,2,12,13,19,2,6,10,15,18,20,9
58,1,2,13,18,20,3,16,10,11,6,6,3,12,2,9,14,3,1,6,17,15,19
59,1,2,9,20,9,9,18,1,19,16,3,2,7,5,15,9,9,5,7,9,3,16
60,1,3,19,13,11,7,18,2,14,16,6,1,10,12,15,5,17,4,8,3,20,9
61,1,1,8,18,20,4,15,1,6,13,9,2,16,12,3,10,7,11,14,17,5,19
62,0,2,7,14,16,4,15,5,6,3,8,1,10,9,20,17,2,12,18,11,13,19
63,0,3,13,17,16,9,18,2,10,6,2,2,5,1,15,19,12,14,11,8,6,20
64,0,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,1,2,12,18,11,1,9,1,19,1,1,1,12,1,19,12,12,9,1,1,16,17
66,0,3,20,13,13,1,19,1,11,1,1,1,1,13,11,18,1,13,13,1,1,1
67,0,1,18,16,17,12,7,1,19,4,2,12,3,6,12,5,12,10,8,11,9,20
68,1,4,16,19,18,13,20,2,14,5,4,1,5,9,15,11,12,10,8,17,3,7
69,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,0,1,1,16,2,13,,3,,6,13,4,17,10,11,8,5,9,7,12,18,15
71,0,2,1,19,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,1,3,1,19,19,1,1,1,17,1,1,1,1,1,17,1,1,1,1,1,1,1
73,0,2,1,18,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,17
74,0,1,10,12,8,14,11,6,2,4,7,1,17,3,5,9,16,19,13,15,18,20
75,1,2,1,16,16,1,,1,,1,1,1,18,1,1,1,1,1,1,1,1,1
76,1,2,14,15,15,13,7,5,4,3,2,11,15,7,1,16,12,10,15,5,7,15
77,1,1,12,17,11,5,14,2,9,7,3,1,15,6,10,16,4,18,19,13,8,20
79,0,2,13,19,19,2,16,2,14,2,2,2,16,1,14,11,2,16,12,9,2,9
80,0,2,8,20,19,3,16,3,17,1,6,1,13,12,17,11,6,14,14,3,9,10
81,0,2,8,18,2,8,2,8,17,8,8,8,2,1,19,2,8,2,2,8,20,8
82,0,1,7,20,13,8,15,2,11,6,4,1,16,18,12,14,10,17,19,3,5,9
83,0,4,2,7,7,7,7,2,18,5,2,1,7,5,19,7,7,7,7,7,7,20
84,1,4,1,20,1,1,12,1,1,1,1,1,12,12,1,12,1,12,12,18,18,1
85,0,3,1,18,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
87,1,2,2,19,7,1,9,4,15,3,8,4,11,13,12,19,18,14,9,17,16,4
88,0,2,1,19,13,1,13,1,13,1,1,1,17,1,13,17,1,1,1,11,11,19
89,0,1,1,16,16,1,,1,,1,1,1,1,1,15,16,1,1,1,1,1,1
90,1,3,9,15,16,4,,1,,5,13,2,8,12,3,14,6,17,11,7,18,10
91,1,2,2,15,14,5,20,18,10,5,1,2,11,17,5,19,5,16,13,4,9,11
92,0,4,12,18,18,5,10,2,9,13,4,3,7,1,17,14,6,8,16,15,18,11
93,1,3,4,19,11,18,3,16,7,14,5,6,8,11,1,9,14,9,16,2,11,19
94,1,3,4,19,20,4,15,1,4,4,2,2,16,4,4,4,4,4,14,4,17,18
95,0,1,18,19,20,7,10,1,11,8,2,3,17,9,5,14,6,13,12,4,16,15
96,1,3,18,16,12,1,9,12,18,9,5,1,1,5,20,5,9,1,5,12,12,16
97,1,4,18,20,1,1,13,1,13,1,1,1,13,1,13,13,1,1,1,1,1,19
98,0,3,5,17,16,3,,14,,1,6,2,8,7,15,10,4,11,9,13,12,18
99,0,1,7,18,17,4,16,3,19,9,10,1,6,12,19,11,5,15,14,2,8,13
100,1,1,1,18,18,1,12,1,1,1,1,1,12,12,1,17,1,12,16,1,1,20
101,0,2,9,12,8,2,10,6,19,3,17,1,13,4,18,7,20,11,16,15,5,14
102,0,3,2,19,19,6,8,1,17,2,10,11,14,7,16,13,4,18,9,5,12,15
103,1,1,1,19,19,1,1,1,17,1,1,1,1,1,17,1,1,1,1,1,1,1
104,0,2,12,18,18,10,5,1,13,15,11,9,2,3,14,18,7,4,17,6,16,8
105,1,4,1,19,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,1,2,18,20,11,1,12,5,8,1,1,1,12,9,5,19,7,15,12,15,10,17
107,1,2,1,18,13,1,1,1,14,1,1,1,1,14,14,18,1,17,20,1,1,1
108,1,3,8,19,17,8,17,1,14,8,1,1,1,1,14,20,8,1,1,8,8,16
