"ID","sex","age","armadillo","tode.plant","ayahuasca","tapir","azucarhuayo.tree","jaguar","gilded.catfish","spider.monkey","harpy.eagle","giant.otter","chimicua.tree","cedro.tree","boquichico.fish","shinteneki.tree","white.collard.peccary","kapok.tree","shapaja.palm.tree","hummingbird","screaming.piha.bird","cortapelo.bee"
55,1,2,12,1,1,8,15,15,10,6,15,15,4,13,5,14,9,15,7,11,1,15
56,1,3,11,3,3,13,NA,17,NA,6,1,10,12,8,15,2,16,7,9,14,3,17
57,0,4,11,1,5,10,16,19,1,9,18,14,8,4,6,13,15,17,7,12,3,19
58,1,2,12,3,2,14,18,19,16,11,17,15,1,8,4,6,7,9,10,13,5,20
59,1,2,7,1,11,6,15,19,4,4,16,18,13,9,2,13,8,17,10,3,11,20
60,1,3,10,3,4,13,2,20,11,9,14,16,6,5,12,17,8,18,7,15,1,19
61,1,1,14,2,17,4,9,19,1,11,15,18,3,6,5,12,13,10,7,16,8,20
62,0,2,12,6,5,10,9,19,1,7,16,15,8,11,2,17,3,14,4,13,18,20
63,0,3,5,1,10,6,11,19,12,13,18,17,9,7,3,15,3,14,8,16,2,19
64,0,1,12,13,14,6,19,16,1,7,15,16,10,11,2,9,5,19,8,3,4,18
65,1,2,11,1,7,11,13,18,7,7,18,14,17,2,2,7,5,14,2,16,5,18
66,0,3,14,1,1,5,5,19,4,5,16,16,5,12,3,10,5,18,11,15,13,19
67,0,1,10,3,5,12,11,19,1,13,18,17,9,16,6,7,2,15,8,14,4,20
68,1,4,8,12,15,7,13,20,6,5,18,9,3,14,10,11,4,16,2,17,1,19
69,0,2,8,1,1,8,17,19,5,8,16,14,8,13,5,15,8,17,7,1,1,19
70,0,1,14,1,3,16,NA,17,NA,6,15,13,4,12,2,10,7,9,8,5,11,18
71,0,2,11,1,1,12,16,19,3,8,15,18,7,14,3,13,8,17,5,10,6,19
72,1,3,12,3,17,6,10,19,2,1,14,13,5,18,3,8,9,16,7,11,15,19
73,0,2,6,1,1,3,NA,17,NA,4,16,14,11,12,5,10,7,15,8,13,9,17
74,0,1,14,2,4,13,5,17,6,1,12,15,9,7,11,18,10,16,8,3,19,19
75,1,2,14,1,1,8,NA,17,NA,5,16,15,6,12,4,13,9,10,7,11,1,17
76,1,2,4,2,1,10,14,20,4,9,19,11,7,13,3,18,8,15,6,16,12,17
77,1,1,5,1,3,10,15,20,7,2,16,19,11,12,6,14,9,17,8,13,4,18
78,0,2,9,4,4,3,14,16,8,2,16,15,11,10,1,12,13,16,7,16,4,16
80,0,2,1,1,1,4,20,17,4,4,14,13,10,19,4,12,4,16,10,15,4,18
81,0,2,5,1,4,11,14,19,6,9,17,13,12,18,7,10,8,15,16,2,3,19
82,0,1,17,1,2,9,13,19,4,7,18,16,11,15,3,12,8,14,10,6,5,19
83,0,4,3,1,1,3,3,18,3,3,14,14,3,12,3,12,3,18,3,14,14,20
84,1,4,9,1,1,7,12,19,6,3,14,17,12,5,4,9,9,18,8,15,15,20
85,0,3,4,2,3,8,NA,17,NA,1,11,12,10,15,7,16,6,14,13,5,9,17
86,0,3,1,4,9,3,17,19,7,2,14,15,11,5,8,10,12,18,6,13,16,19
87,1,2,10,1,5,4,17,20,9,11,16,18,6,15,7,12,3,13,14,8,1,19
88,0,2,1,1,13,1,14,15,1,1,15,15,1,11,1,1,1,15,1,11,15,15
89,0,1,5,1,2,4,NA,17,NA,8,12,15,6,14,3,16,8,11,6,10,12,17
90,1,3,11,3,6,1,NA,17,NA,5,13,16,8,12,3,14,7,15,9,10,1,17
91,1,2,10,2,3,7,16,20,6,1,13,14,9,18,5,11,12,16,4,15,8,19
92,0,4,16,1,2,7,12,19,2,6,17,18,8,14,5,11,10,13,15,9,4,19
93,1,3,14,9,9,4,13,19,2,4,16,18,3,4,1,16,4,4,9,14,9,20
94,1,3,13,1,1,4,10,19,7,3,16,12,6,5,8,11,14,18,9,15,17,19
95,0,1,14,3,4,9,7,17,1,5,17,15,6,10,2,13,12,17,8,16,11,17
96,1,3,14,1,1,1,5,18,12,5,16,17,5,10,4,12,10,15,5,18,5,18
97,1,4,17,1,1,12,18,20,8,5,16,15,6,11,8,10,12,14,7,3,3,19
98,0,3,3,1,5,7,NA,18,NA,9,14,13,10,15,11,12,4,16,8,6,2,17
99,0,1,7,2,1,6,15,18,3,9,18,12,10,16,4,13,5,17,8,11,14,18
100,1,1,11,1,1,1,4,19,4,4,12,16,4,12,4,17,12,17,4,12,4,20
101,0,2,15,1,3,7,11,19,16,2,18,17,9,12,5,10,6,14,13,8,4,19
102,0,3,6,1,2,10,15,19,8,5,17,14,3,13,9,11,12,16,7,4,18,19
103,1,1,9,1,3,9,7,19,9,9,17,19,7,5,4,9,1,15,9,16,5,19
104,0,2,5,1,2,10,9,19,6,12,18,17,16,15,6,3,11,13,4,14,8,20
105,1,4,6,1,13,6,3,19,6,6,17,16,3,2,6,17,6,15,3,14,6,19
106,1,2,16,1,1,8,14,19,3,15,17,18,8,7,3,12,6,11,13,10,3,20
107,1,2,12,1,7,1,15,18,8,1,13,14,11,1,8,18,1,17,8,15,1,18
108,1,3,14,1,9,2,15,20,8,4,11,18,6,16,7,10,2,17,4,12,12,19
